ITEM #,COUNT,VESSEL NAME,FIRST OIL MONTH,FIRST OIL YEAR,FPSO OWNER,FPSO OPERATOR,FIELD OPERATOR (MAJORITY),"1.0- FOO/FOM, 2=FOO/CM, 3. CO/CM, 4. CO/FOM",LEASED (L) FPSO (CONTRACTOR OWNED),CURRENT LEASE PERIOD (YRS.),OPERATING WATER DEPTH (M),FIELD or LOCATION,COUNTRY,REGION,RESERVES (MMBOE),TOPSIDES DETAILING ENG.,HULL DETAIL ENG.,GENERAL CONTRACTOR (EPCI),TOPSIDES FAB YARD,NEW BUILD HULL FAB YARD,CONVERSION / INTEGRATION,REPAIR,TURRET SUPPLIER/SWIVEL MANUFACTURER,TOTAL WELLS,PRODUCTION WELLS,GAS INJECTION WELLS,WATER INJECTION WELLS,CLASSIFICATION,LENGTH (M),BREADTH (M),DEPTH (M),MAX OPERATING DRAFT (M),"HULL CONSTRUCTION DH-DOUBLE HULL, SH-SINGLE HULL, DS-DOUBLE SIDED",DEADWEIGHT (DWT) (Tonnes),CONSTRUCTION TYPE (CONVERSION or NEWBUILD),ORIGINAL HULL FABRICATION YEAR,LATEST INTEGRATION/ UPGRADE YEAR,MAX OIL PRODUCTION (MBOPD),GAS PROCESSING (MMscfd),EQUIVALENT THROUGHPUT (MBOE/D),GAS INJECTION (MMscfd),GAS EXPORT & GAS LIFT (MMscfd),MAX WATER PRODUCTION (MBPD),PRODUCED WATER (MBWPD),WATER INJECTION (MBWPD),STORAGE CAPACITY (MBBLs),TOTAL RISERS,QUARTERS CAPACITY (PEOPLE),"GAS DEPOSITION
57,1,LEWEK EMAS (CHIM SAO),10,2011,Emas,Emas,Premier Oil,3,L,,95,Chim Sao,Vietnam,SCS,48,,,,,,Keppel,,,,,,,ABS,290,51,24,,,"190,000",C,1977,2011,50,,50,,,,,,680,7,,S,,,IT,D,9,57
58,1,FIRENZE FPSO,?,2011,ENI,Saipem,ENI,2,L,,800,Aquila,Italy,Others,20,,,Saipem,,,,,,,,,,RINA,268,42,21,,,"110,000",C,1989,2011,12,7.2,13,,,,,,700,,,"S, L",GF,,ET,P,8,58
59,1,ENQUEST PRODUCER,10,2015,Enquest,Enquest,Enquest,1,,,150,Alma/Galia,UK,N Sea,,,,,,,OGN,,,,,,,,248,39,,,,"99,800",C,1983,,120,,120,,,,,,600,,,,,,IT,,,59
60,1,BALDER,9,1999,Esso Norge,ExxonMobil,ExxonMobil,1,,,125,Balder/Ringhorne,Norway,N Sea,171,,,Smedvig,,Smedvig,,,,16,12,1,3,,211,36,,,DH,,N,1995,2005,110,,110,,,,,,380,,60,,,TS,RTM,P,10,60
61,1,ERHA,4,2006,ExxonMobil,Esso,ExxonMobil,1,,,"1,180",Niger Delta OPL 209,Nigeria,W Africa,"1,000",,,,SMOE/Sembawang,HHI,HHI,,,25,,,,ABS,290,51,24,,,"190,000",C,1977,2011,250,400,317,,,,,,"2,200",,,,,,SM,,,61
62,1,"KIZOMBA ""A""",8,2004,ExxonMobil,ExxonMobil,ExxonMobil,1,,,"1,180","Block 15 - Hungo, Chocalho",Angola,W Africa,"1,000",Fluor,,Fluor/AMEC Alliance,HHI,IHI,IHI,,SOFEC,,,,,DNV,285,63,32,24,DH,"375,000",N,2005,,250,400,317,,,,,,"2,200",,,,,,SM,,,62
63,1,"KIZOMBA ""B""",7,2005,ExxonMobil,ExxonMobil,ExxonMobil,1,,,"1,016","Block 15 - Kissanje, Dikanza",Angola,W Africa,"1,000",AMEC,,,HHI,IHI,IHI,,SOFEC,,,,,DNV,285,60,32,24,DH,"340,660",N,2005,,100,150,125,150,,180,,270,940,15,80,I,FT,TS,IT,D,9,63
64,1,SERPENTINA,7,2003,ExxonMobil,SBM Offshore,ExxonMobil,2,,,475,Zafiro Southern Expansion Area,Eq Guinea,W Africa,994,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,,SBM Offshore,20,15,,5,ABS,362,56,29,22,SH,"397,355",C,1974,2002,110,160,137,150,50,150,50,150,"2,140",9,100,I,FT,TS,ET,P,9,64
65,1,ZAFIRO PRODUCER,8,1996,ExxonMobil,ExxonMobil,ExxonMobil/GEPetrol,1,,,180,Zafiro Block B,Eq Guinea,W Africa,993,Wood Group Mustang,Oceaneering Int'l,Oceaneering Int'l,Various,,Ham Marine,,,38,,,,ABS,331,56,27,20,SH,"263,933",C,1973,1999,80,60,90,45,,40,35,100,"1,900",8,150,I,"FB,FF",TB,SM,P,12,65
66,1,SENDJE CEIBA,3,2002,Hess,BW Offshore,Hess,2,,,800,Ceiba,Eq Guinea,W Africa,356,ABB,,BW Offshore,ABB,,Jurong,Jurong,,28,,,,DNV,265,52,27,22,SH,"274,473",C,1975,2001,160,45,168,OPT,,135,,135,"2,000",,100,"F, I",FS,T,SM,P,12,66
67,1,SEA ROSE (WHITE ROSE),11,2005,Husky,Husky,Husky,1,,,120,White Rose,Canada,Others,440,AMKC,Samsung,Maersk Contractors,Aker Maritime/ Keiwit,Samsung,Samsung,,SBM Offshore,21,8,2,11,DNV,258,46,27,18,DH,"140,000",N,2005,,105,145,129,145,,100,,125,630,9,80,,,,IT,,9,67
68,1,ICHTHYS VENTURER,Q3,2017,Inpex,Inpex,Inpex,1,,,250,Ichthys,Australia,Aust,,,,,,,DSME,,SBM Offshore,,,,,,336,59,,,,"340,000",N,,,100,,100,,,,,,"1,120",,200,,,,IT,P,,68
69,1,BERTRAM,4,2015,Lundin/Petronas,Lundin,Lundin,1,,,76,Bertram,Malaysia,SCS,18,Kavin Engineering,,,,,Keppel,,,12,,,,,292,41,,,,"133,560",C,1971,2014,30,3,31,,,,,,,,,,,SS,SM,,,69
70,1,RATU NUSANTARA,5,2015,M3 Energy,M3 Energy,Petronas,3,L,5,60,Bukit tua,Indonesia,SCS,,,,,,,Keppel,,,,,,,ABS,233,43,20,,SH,"85,600",C,1984,2014,25,77,38,,,,,,630,,,,,,SM,,,70
71,1,RAROA,2,2009,Maari JV,MODEC,OMV,2,L,,101,Maari,New Zealand,Aust,50,,,,,HanTong,Jurong,,APL,5,,,3,ABS,243,42,,,,"92,757",N,1980,2007,95,83,109,72,,120,,90,120,10,60,S,FB,TS,IT,P,10,71
72,1,GRYPHON,9,1993,Maersk O&G,Maersk FPSOs,Maersk O&G,2,L,,91,"Gryphon, Maclure, Tullich",UK,N Sea,213,KBR,Maritime Tentech,,Aker McNulty,Ast y Talleres del Noroeste,Astano,Damen Shipyard,Maritime Tentech,20,,,,DNV,259,41,24,16,DH,"105,701",N,1993,2001,100,90,115,75,,170,,300,510,12,90,I,FB,TS,IT,P,10,72
73,1,GLOBAL PRODUCER III,11,2001,Maersk O&G,Maersk FPSOs,Maersk O&G,2,L,,113,Dumbarton,UK,N Sea,150,KBR,Maritime Tentech/Mitsui,,McNulty,Mitsui,Mitsui,,"Maritime Tentech, M.E.S./Frame Engr.",14,10,,4,DNV,219,38,23,17,DH,"85,943",N,1998,,100,,100,,,,,,510,,40,,,,"ET, SM",P,6,73
74,1,ALVHEIM,6,2008,Marathon,Marathon,Marathon,1,,,125,Alvheim,Norway,N Sea,236,Vetco Aibel,Keppel,Vetco Aibel,Vetco Aibel,,Keppel/Vetco Aibel,,APL,25,22,,3,DNV,252,42,23,16,DH,"81,213",C,2001,2008,157,125,178,n/a,125,180,180,180,560,12,120,"S,L",FB,TS,IT,D,12,74
75,1,BUNGA KERTAS,4,2004,MISC,FPSO Ventures,Petronas,3,L,,62,Penera,Malaysia,SCS,,Malaysia Shipyard,,INTEC,DPS/MSE,,MISC,MSE,SBM Offshore,,,,,ABS,233,43,19,,SH,"87,768",C,1986,2003,30,60,40,10,60,,20,,619,8,S,,,TS,SPT,P,9,75
76,1,CENDOR II (Onozo),5,2014,MISC,MISC,Petrofac Malaysia,3,L,,,Cendor,Malaysia,SCS,,,,,,,Malaysia Marine,,,,,,,BV,245,41,,,,"100,020",C,1990,,35,,35,,,,,,680,,,,,,SM,P,12,76
77,1,MaMPU 1,10,2016,MISC,Vestigo,Petronas,3,L,,70,Anjung Kecil,Malaysia,SCS,,,,,,,,,,,,,,,182,32,,,,"47,297",C,2005,2016,15,25,19,,,,,,318,,,,,,,,,77
78,1,BAOBAB IVOIRIEN MV 10,8,2005,MODEC,MODEC,CNR,3,L,,970,Baobab,Cote d'Ivoire,W Africa,123,Sime Sembcorp,MODEC,MODEC,Sime Sembcorp,,Jurong,Jurong,SOFEC,8,3,,,ABS,350,60,28,,,"357,000",C,1976,2005,70,75,83,75,,100,,100,"2,000",11,,,,TS,ET,P,8,78
79,1,CIDADE DE ANGRA dos REIS (MV22),10,2010,MODEC,MODEC,Petrobras,3,L,15,"2,150",Lula,Brazil,Brazil,"6,000",MODEC,MODEC,MODEC,Various,,COSCO,,SOFEC,5,,,,ABS,316,58,30,,,"260,000",C,,2010,100,177,130,,,,,100,"1,600",,,"S,L",,TS,SM,P,24,79
80,1,CIDADE DE CARAGUATATUBA  (MV27),12,2016,MODEC,MODEC,Petrobras,3,L,20,"2,100",Carioca,Brazil,Brazil,,MODEC,MODEC,MODEC,Various,Mitsui,,,SOFEC,,,,,,250,60,,8,DH,"295,574",N,,,100,177,130,122,,100,,120,"1,600",,150,,,TS,SM,P,24,80
81,1,CIDADE DE ITAGUAI (MV 26),7,2015,MODEC,MODEC,Petrobras,3,L,20,"2,240",Iracema Norte,Brazil,Brazil,,MODEC,MODEC,MODEC,Various,,Cosco BrasFELS,,SOFEC,,8,,,ABS,332,58,31,6,,"282,286",C,1999,2015,150,280,197,122,252,150,,264,"1,600",,,,,TS,SM,P,24,81
82,1,CIDADE DE MANGARATIBA (MV 24),10,2014,MODEC,MODEC,Petrobras,3,L,20,"2,200",Iracema South,Brazil,Brazil,,MODEC,MODEC,MODEC,Various,,Cosco BrasFELS,,SOFEC,16,280,,8,ABS,332,58,,6,,"300,000",C,,2014,150,280,197,254,141,150,,240,"1,600",,,,,TS,SM,P,24,82
83,1,CIDADE DE NITOROI (MV 18),3,2009,MODEC,MODEC,Petrobras,3,L,9,"1,370",Jabuti Field,Brazil,Brazil,,MODEC,MODEC,MODEC,Various,,Cosco,,SOFEC,,,,,ABS,315,60,,,,"258,000",C,1986,2009,100,124,121,,,,,,"1,600",,,,,TS,SM,P,,83
84,1,CIDADE DE RIO DE JANEIRO (MV14),1,2007,MODEC,MODEC,Petrobras,3,L,2,"1,350",Espadarte Sul Field,Brazil,Brazil,,MODEC,MODEC,MODEC,Various,,Jurong,,SOFEC,,,,,,321,58,,,DH,"275,045",C,1986,,100,87,115,,,,,113,"1,600",,,,,TS,SM,P,,84
85,1,CIDADE DE SANTOS (MV 20),7,2010,MODEC,MODEC,Petrobras,3,L,5,"1,300",Urugua/Tambua Fields,Brazil,Brazil,,MODEC,MODEC,MODEC,Various,,Cosco,,SOFEC,,,,,,334,51,,,DH,"232,165",C,1973,2008,35,350,93,,,,,,700,,,,,TS,SM,P,,85
86,1,CIDADE DE SAO PAULO (MV23),1,2013,MODEC,MODEC,Petrobras,3,L,20,"2,100",Sapinhoa,Brazil,Brazil,"2,100",,,MODEC/ Schahin,Various,,"Cosco, BrasFELS",,SOFEC,,,,,ABS,332,58,28,,,"265,050",C,1992,2010,120,177,150,,,,,150,"1,600",,,,,TS,SM,P,,86
87,1,FPSO PROF. JOHN EVAN ATTA MILLS,8,2016,MODEC,MODEC,Tullow Ghana Ltd,3,L,10,"1,500",T.E.N.  Deepwater Tano,Ghana,W Africa,,MODEC,MODEC,MODEC,Various,,Jurong,Jurong,SOFEC,,,,,DNV,,,,,DH,"300,955",C,,2016,80,180,110,180,50,75,,,"1,700",,,,,TS,ET,P,,87
88,1,KAKAP NATUNA,4,1986,MODEC,ConocoPhillips,ConocoPhillips,4,L,,88,Kakap KH,Indonesia,SCS,,MODEC/NATCO,MODEC,MODEC,MODEC/Avery Laurence,,Sumitomo HI,Sumitomo,SOFEC,10,,,,ABS,268,43,21,16,SH,"134,000",C,1975,1985,25,25,29,,,60,,,760,2,86,F,FB,TB,CRY,P,6,88
89,1,MODEC VENTURE 11,3,2005,MODEC,MODEC,Santos,3,L,,492,"Mutineer, Exeter, WA-191-P",Australia,Aust,101,,MODEC,MODEC,Various,,Jurong,Jurong,SOFEC,,,,,ABS,258,46,24,,,"149,686",C,1992,2005,100,2,100,,,,,,930,12,,,,TS,IT,D,6,89
90,1,NAN HAI SHENG LI,3,1996,MODEC,MODEC,CNOOC,3,L,,305,Liuhua 11-1,China,SCS,,,MODEC,MODEC,,,Jurong,,SOFEC,,,,,ABS,267,44,23,,,"132,100",C,1975,1996,65,5,66,,,,,,650,3,,,,,IT,P,10,90
91,1,SONG DOC PRIDE MV19,11,2008,MODEC,MODEC,PetroVietnam,3,L,,55,Song Doc,Vietnam,SCS,,,MODEC,MODEC,,,Cosco,,SOFEC,5,,,,ABS,,,,,,"70,000",C,,2008,30,,30,,,,,,360,,,,,,SM,P,12,91
92,1,CDE DE CAMPOS DOS GOYTACAZES (MV29),2H,2017,MODEC and JV partners,MODEC,Petrobras,3,L,20,765,Tartaruga Verde,Brazil,Brazil,350,MODEC,MODEC,MODEC/SHAHIN,Various,,COSCO BrasFELS,,SOFEC,18,12,,6,ABS,335,58,,11,DH,"298,543",C,2000,2016,150,176,179,122,53,162,,200,"1,600",,150,"S,L",,TS,SM,P,22,92
93,1,MTC LEDANG,2H,2017,MTC Leasing,MTC Leasing,Oceantex,3,L,3,73,Ophir,Malaysia,SCS,,,,,,,,,,3,3,,,,,,,,,"45,233",C,1992,2017,15,,15,,,,,,350,,,,,,,,,93
94,1,MYSTRAS,1,2004,NPDC,NPDC,NPDC,1,L,,72,Okono & Okpono Fields,Nigeria,W Africa,270,CESL,CESL,CESL,Various,,DDD,,,5,,,,ABS,271,55,22,17,SH,"138,930",C,1976,2003,80,85,94,0,0,55,32,,"1,035",23,100,F,FB,TS,SM,P,12,94
95,1,OSX-3,12,2013,OSX 3 Leasing,OSX Leasing,OGPar,3,L,,110,BM-C-39 Campos Basin,Brazil,Brazil,,MODEC,MODEC,MODEC,Various,,Jurong,,SOFEC,,,,,ABS,,,,,,"270,182",C,,2013,100,,100,,,,,150,"1,300",,,,,FS,ET,P,,95
96,1,CYRUS,2H,2017,Pedco,Pedco,Iranian Offshore Oil,3,L,,100,South Pars,Iran,Others,"7,000",Avantgarde,,,,,,,,,,,,,245,42,22,,,"110,673",C,,,35,,35,,,,,30,714,,76,,,,SM,,,96
97,1,CONKOUATI,11,1991,Perenco,Perenco,Perenco,1,,,114,Yombo,Congo,W Africa,500,Hudson/McDermott,Hudson/McDermott,,McDermott Indonesia,,Keppel,Keppel,,30,,,,ABS,325,48,27,20,SH,"235,837",C,1973,1991,35,12,37,,,35,,,"1,420",2,94,F,GF,SS,SM,P,12,97
98,1,PERISAI KAMELIA,11,2013,Perisai Petroleum,Perisai Petroleum,Hess Malaysia,3,L,,60,North Malay Basin,Malaysia,SCS,,,,,,Keppel,,,,,,,,,264,41,22,,,"127,540",C,,,1,330,56,,175,,1,,725,,,,,,ET,,,98
99,1,P-31,10,1998,Petrobras,Petrobras,Petrobras,1,,,330,Albacora,Brazil,Brazil,962,IVI,,IVI,IVI,Ishibras,Ishibras,Ind. Verolme Ishibras,SOFEC,35,23,,,ABS,337,55,28,22,SH,"283,000",C,1974,1997,100,6,101,,,,50,60,"1,000",4,90,I,GF,TS,IT,,,99
100,1,P-32 (Formerly VLCC Cairu),6,1998,Petrobras,Petrobras,Petrobras,1,,,160,Marlim,Brazil,Brazil,704,AESA,UTC Engenharia,AESA,AESA,,AESA,,SBM Offshore,19,12,,7,ABS,337,54,28,22,,"282,750",C,1974,,150,,150,,,,,,"2,000",,,,,,,,,100
101,1,P-33,,2002,Petrobras,Petrobras,Petrobras,1,,,780,Marlim,Brazil,Brazil,704,HHI/Petromarine,,HHI/Petromarine,Segen/HHI/Allan Maclure,HHI,HHI,HHI,SBM Offshore,8,6,,2,ABS,337,55,28,22,SH,"269,443",C,1978,1998,50,,50,,,,,,700,1,,,,,IT,,,101
102,1,P-35 (Formerly VLCC Jose Bonifacio),8,1999,Petrobras,Petrobras,Petrobras,1,,,850,Marlim,Brazil,Brazil,704,Petromarine/Allan MacLure,,Petromarine/Allan MacLure,Segen,HHI,HHI,HHI,SBM Offshore,27,19,,8,ABS,337,54,28,21,SH,"270,000",C,1975,1996,100,,100,,,300,,300,"2,000",2,85,F,FB,TS,IT,,,102
103,1,P-37 (Formerly Friendship),12,1999,Petrobras,Petrobras,Petrobras,1,,,905,Marlim,Brazil,Brazil,704,Technip,,Technip,Segen,Maritima/MODEC,Jurong,Jurong,Bluewater,35,20,,15,ABS,339,54,26,21,SH,"282,000",C,1975,2000,150,16,153,,,320,,205,"1,000",,120,,FB,TS,IT,,,103
104,1,P-43,12,2004,Petrobras,Petrobras,Petrobras,1,,,790,Barracuda,Brazil,Brazil,806,KBR/HES,,KBR/HES,KBR (PROJEMAR),KBR/HES,Mauá-Jurong Cnsort.,Jurong/Mauá-Jurong,,34,20,,14,ABS,337,55,27,21,SH,"311,000",C,1975,2003,150,14,152,12,,50,,37,880,5,36,,,,SALM,,,104
105,1,P-48,2,2005,Petrobras,Petrobras,Petrobras,1,,,"1,040",Caratinga,Brazil,Brazil,153,KBR/HES,,KBR/HES,KBR (PROJEMAR),KBR/HES,Mauá-Jurong Cnsort.,FELS-Setal,,21,13,8,,ABS,337,55,27,21,SH,"311,000",C,1973,2004,150,15,153,,,20,,,500,1,35,F,FB,TS,CALM,,,105
106,1,P-50,4,2006,Petrobras,Petrobras,Petrobras,1,,,"1,225",Albacora Leste,Brazil,Brazil,,UTC Engenharia,,UTC Engenharia,Petrobras,Jurong,Jurong,Jurong,,42,17,,25,ABS,337,55,28,21,SH,"279,688",C,1980,2003,180,85,194,50,50,55,32,,"1,035",23,100,,FB,TS,SM,,,106
107,1,P-54,12,2007,Petrobras,Petrobras,Petrobras,1,,,"1,400",Roncador Module 2,Brazil,Brazil,"2,000",,,,Maua,FSTP,Jurong,Jurong,,19,11,2,6,ABS,337,54,28,22,SH,"321,000",C,1979,2007,180,,180,,,,,,"2,000",10,,,,,,,,107
108,1,P-57,12,2010,Petrobras,Petrobras,Petrobras,1,,,"1,260","Jubarte, Ph 2",Brazil,Brazil,600,SBM Offshore,SBM Offshore,SBM Offshore,,,Keppel,,SBM Offshore,45,19,17,9,,311,56,,,DH,"255,000",C,2003,2010,180,4,181,,,300,,134,"2,537",80,52,F,FT,TS,SM,P,9,108
109,1,P-58,3,2014,Petrobras,Petrobras,Petrobras,1,,,"1,400",Espirito Santo,Brazil,Brazil,,,,,,,,,,24,15,,9,DNV,330,56,,,,"312,899",C,1991,,180,212,215,,,,,380,,,110,,,,,,,109
110,1,P-62 (Formerly MT Suva),5,2014,Petrobras,Petrobras,Petrobras,1,,,"1,600",Roncador,Brazil,Brazil,,,,,"Utc Engenharia, CEE, RJ",,,,,,,,,,328,57,,,,"154,998",C,,2013,180,6,181,,,,,265,"1,600",,,,,,,,,110
111,1,P-63,10,2013,Petrobras,BW Offshore & JV Partner,Petrobras,2,,,"1,190","Papa Terra Field, BLOCK BC-20",Brazil,Brazil,"1,000",Various,BW Offshore,BW Offshore,,,COSCO,,,26,16,,10,ABS,334,58,28,8,SH,"322,912",C,1983,2013,150,35,156,,,,,340,"1,400",26,126,"F,S,I",FB,TB,SM,P,25,111
112,1,P-66,5,2017,Petrobras,Petrobras,Petrobras,1,,,"2,150",Lula Sul,Brazil,Brazil,,Doris Engr.,COOEC,,COOEC,Rio Grande,Brasfels,,,,,,,,,,,,,"252,812",N,,,150,212,185,,,,,,"1,600",,,,,,,,,112
113,1,TERRA NOVA,1,2002,Petro-Canada,Petro-Canada,Petro-Canada,1,,,94,Terra Nova,Canada,Others,470,Agra Shawmont Brown& Root,KBR/Daewoo,TNA AlliancePCL/KBR,PCL/BARMAC,Daewoo,Daewoo,,SOFEC,24,14,3,7,LR,292,46,28,19,DH,"196,000",N,1999,,32,5.4,33,,,14,,,550,2,88,F,EF/GF,TS,ET,P,,113
114,1,BERANTAI (EAST FORTUNE),10,2012,Petrofac,Petrofac,Petronas,3,L,,55,Berantai,Malaysia,SCS,,,,,,,Keppel,,,,13,,,DNV,207,32,17,,,"55,337",C,1983,2012,30,150,55,,,,,,360,,,S,,,,,,114
115,1,FPF3 (JASMINE VENTURE - MV 7),12,2004,Petrofac,Petrofac,Mubala Petroleum,3,L,,60,Jasmine,Thailand,SCS,196,MODEC/Schlumberger,MODEC,MODEC,MODEC/Hup Seng Engr.,,Jurong,Jurong,SOFEC/Framo Engr.,3,,,,ABS,248,39,21,15,SH,"106,000",C,1976,1999,20,20,23,8,,30,,,800,2,59,F,FB,TS,ET,P,6,115
116,1,ANOA NATUNA,4,1990,Premier Oil,Premier Oil,Premier Oil,1,,,77,Anoa Block A,Indonesia,SCS,216,MODEC/NATCO,MODEC,MODEC,MODEC/Applied Engr.,IHI Marine,IHI,,SOFEC,23,,,,ABS,165,39,21,14,SH,"76,200",N,1990,,70,32,75,,36,60,,85,550,6,55,S,FB,TS,ET,D,12,116
117,1,LAM SON,6,2014,PTSC/Vinson Holdings,PetroVietnam/Petronas,PetroVietnam/Petronas,4,L,,,Tang Long/Dong Do,Vietnam,SCS,,,,PTSC,,,Keppel,,,,,,,,243,42,,14,,"96,125",C,,2014,20,,20,,,,,,650,5,70,,,T,ET,,,117
118,1,MONTARA VENTURE,6,2013,PTTEP,PTTEP,PTTEP,1,,,80,"Montara, Skua, Swift, Swallow Fields",Australia,Aust,40,,,,,,,,,6,5,1,,ABS,274,43,24,,,"146,251",C,,,40,60,50,,,,,,700,,58,L,,,STP,,9,118
119,1,AJE (Front Puffin),5,2016,Rubicon Offshore,Yinka Folawiyo Petroleum,Panoro Energy,3,L,,91,"OML113 Aje Field , Benin Basin",Nigeria,W Africa,,,,,,,,,,,,,,DNV,246,43,21,8,SH,"112,046",C,1990,2007,40,40,47,,6,,40,,770,2,43,,FT,,ET,D,,119
120,1,RUBICON INTREPID,10,2008,Rubicon Offshore,Rubicon Offshore,Galoc Production Co.,3,L,,290,Galoc,Philippines,SCS,24,,,,Batam,,MMHE,,,,,,,DNV,217,32,19,13,DH,"67,436",C,1981,2007,15,40,22,,,30,,,450,,36,,FB,,ET,,,120
121,1,CIDADE DE VITORIA,11,2007,Saipem,Saipem,Petrobras,3,L,,"1,386",Golfinho,Brazil,Brazil,,,,Saipem,,,DDD,,,,,,,ABS,337,54,27,21,DH,"273,775",C,1976,2006,100,118,120,,,,50,138,"1,900",,100,F,FT,,SM,,18,121
122,1,GIMBOA,4,2009,Saipem,Saipem,Sonangol,3,L,,711,Gimboa,Angola,W Africa,,,,Saipem,Various,,DDD,,,7,3,,4,ABS,337,55,27,21,,"273,777",C,1977,2008,60,37,66,,,,60,60,"1,800",,100,,FI,,SM,,12,122
